"","region","strategy_code","variable","future_id","value"
"109","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:pulses_shifted2023",0,0
"110","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:pulses_shifted2024",0,0
"111","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:rice",0,41492.5858043509
"112","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:rice_shifted2015",0,0
"113","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:rice_shifted2016",0,0
"114","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:rice_shifted2017",0,0
"115","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:rice_shifted2018",0,0
"116","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:rice_shifted2019",0,0
"117","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:rice_shifted2020",0,0
"118","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:rice_shifted2021",0,0
"119","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:rice_shifted2022",0,0
"120","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:rice_shifted2023",0,0
"121","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:rice_shifted2024",0,0
"122","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:sugar_cane",0,2965.21526969228
"123","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:sugar_cane_shifted2015",0,0
"124","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:sugar_cane_shifted2016",0,0
"125","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:sugar_cane_shifted2017",0,0
"126","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:sugar_cane_shifted2018",0,0
"127","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:sugar_cane_shifted2019",0,0
"128","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:sugar_cane_shifted2020",0,0
"129","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:sugar_cane_shifted2021",0,0
"130","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:sugar_cane_shifted2022",0,0
"131","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:sugar_cane_shifted2023",0,0
"132","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:sugar_cane_shifted2024",0,0
"133","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:tubers",0,802986.137203841
"134","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:tubers_shifted2015",0,0
"135","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:tubers_shifted2016",0,0
"136","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:tubers_shifted2017",0,0
"137","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:tubers_shifted2018",0,0
"138","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:tubers_shifted2019",0,0
"139","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:tubers_shifted2020",0,0
"140","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:tubers_shifted2021",0,0
"141","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:tubers_shifted2022",0,0
"142","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:tubers_shifted2023",0,0
"143","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:tubers_shifted2024",0,0
"144","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:vegetables",0,90383.4755853442
